item_root,group_file,id,name,desc,has_icon,has_icon_raw,price,cash_flag,slot_max,xml_relpath,png_dir_relpath,icon_png_relpath,icon_raw_png_relpath
Etc,0400,4000000,Blue Snail Shell,A shell removed from a snail,1,1,3,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000000/info,Item/Item.wz/Etc/0400.img/04000000/info/icon.png,Item/Item.wz/Etc/0400.img/04000000/info/iconRaw.png
Etc,0400,4000001,Orange Mushroom Cap,A cap removed from a mushroom,1,1,4,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000001/info,Item/Item.wz/Etc/0400.img/04000001/info/icon.png,Item/Item.wz/Etc/0400.img/04000001/info/iconRaw.png
Etc,0400,4000002,Pig's Ribbon,Taken off from the pig with a ribbon,1,1,5,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000002/info,Item/Item.wz/Etc/0400.img/04000002/info/icon.png,Item/Item.wz/Etc/0400.img/04000002/info/iconRaw.png
Etc,0400,4000003,Tree Branch,The branch bent away from a tree,1,1,4,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000003/info,Item/Item.wz/Etc/0400.img/04000003/info/icon.png,Item/Item.wz/Etc/0400.img/04000003/info/iconRaw.png
Etc,0400,4000004,Squishy Liquid,Very thick and sticky liquid,1,1,4,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000004/info,Item/Item.wz/Etc/0400.img/04000004/info/icon.png,Item/Item.wz/Etc/0400.img/04000004/info/iconRaw.png
Etc,0400,4000005,Leaf,The leaf that's taken out of a tree,1,1,6,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000005/info,Item/Item.wz/Etc/0400.img/04000005/info/icon.png,Item/Item.wz/Etc/0400.img/04000005/info/iconRaw.png
Etc,0400,4000006,Octopus Leg,The leg removed from an octopus,1,1,8,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000006/info,Item/Item.wz/Etc/0400.img/04000006/info/icon.png,Item/Item.wz/Etc/0400.img/04000006/info/iconRaw.png
Etc,0400,4000007,Evil Eye Tail,A tail removed from a lizard,1,1,20,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000007/info,Item/Item.wz/Etc/0400.img/04000007/info/icon.png,Item/Item.wz/Etc/0400.img/04000007/info/iconRaw.png
Etc,0400,4000008,Charm of the Undead,A charm taken out of an undead monster.,1,1,15,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000008/info,Item/Item.wz/Etc/0400.img/04000008/info/icon.png,Item/Item.wz/Etc/0400.img/04000008/info/iconRaw.png
Etc,0400,4000009,Blue Mushroom Cap,A cap removed from a mushroom,1,1,12,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000009/info,Item/Item.wz/Etc/0400.img/04000009/info/icon.png,Item/Item.wz/Etc/0400.img/04000009/info/iconRaw.png
Etc,0400,4000010,Slime Bubble,A bubble removed from the slime,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000010/info,Item/Item.wz/Etc/0400.img/04000010/info/icon.png,Item/Item.wz/Etc/0400.img/04000010/info/iconRaw.png
Etc,0400,4000011,Mushroom Spore,A spore of a mushroom,1,1,3,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000011/info,Item/Item.wz/Etc/0400.img/04000011/info/icon.png,Item/Item.wz/Etc/0400.img/04000011/info/iconRaw.png
Etc,0400,4000012,Green Mushroom Cap,A cap removed from a mushroom,1,1,10,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000012/info,Item/Item.wz/Etc/0400.img/04000012/info/icon.png,Item/Item.wz/Etc/0400.img/04000012/info/iconRaw.png
Etc,0400,4000013,Curse Eye Tail,A tail removed from a lizard,1,1,30,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000013/info,Item/Item.wz/Etc/0400.img/04000013/info/icon.png,Item/Item.wz/Etc/0400.img/04000013/info/iconRaw.png
Etc,0400,4000014,Drake Skull,It's a skull of Drake,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000014/info,Item/Item.wz/Etc/0400.img/04000014/info/icon.png,Item/Item.wz/Etc/0400.img/04000014/info/iconRaw.png
Etc,0400,4000015,Horny Mushroom Cap,A cap removed from a mushroom,1,1,12,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000015/info,Item/Item.wz/Etc/0400.img/04000015/info/icon.png,Item/Item.wz/Etc/0400.img/04000015/info/iconRaw.png
Etc,0400,4000016,Red Snail Shell,A shell removed from a snail.,1,1,5,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000016/info,Item/Item.wz/Etc/0400.img/04000016/info/icon.png,Item/Item.wz/Etc/0400.img/04000016/info/iconRaw.png
Etc,0400,4000017,Pig's Head,Head of a pig,1,1,30,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000017/info,Item/Item.wz/Etc/0400.img/04000017/info/icon.png,Item/Item.wz/Etc/0400.img/04000017/info/iconRaw.png
Etc,0400,4000018,Firewood,A high-quality firewood from an Axe-Stump.,1,1,12,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000018/info,Item/Item.wz/Etc/0400.img/04000018/info/icon.png,Item/Item.wz/Etc/0400.img/04000018/info/iconRaw.png
